ano_mes,tributo,rotulo,tributo_pai,nivel,tipo,valor,valor_constante
1994-03,I.RENDA-PESSOA FÍSICA,I.RENDA-PESSOA FÍSICA,IMPOSTO SOBRE A RENDA-TOTAL,2,detalhe,70.54354116538596,1845.711916084446
1994-03,I.RENDA-PESSOA JURÍDICA,I.RENDA-PESSOA JURÍDICA,IMPOSTO SOBRE A RENDA-TOTAL,2,detalhe,286.70348110336533,7501.353387048642
1994-03,I.RENDA-PESSOA JURÍDICA · DEMAIS EMPRESAS,I.RENDA-PESSOA JURÍDICA · DEMAIS EMPRESAS,I.RENDA-PESSOA JURÍDICA,3,detalhe,211.6429465480826,5537.458170453929
1994-03,I.RENDA-PESSOA JURÍDICA · ENTIDADES FINANCEIRAS,I.RENDA-PESSOA JURÍDICA · ENTIDADES FINANCEIRAS,I.RENDA-PESSOA JURÍDICA,3,detalhe,75.06053455528274,1963.8952165947128
1994-03,I.RENDA-RETIDO NA FONTE,I.RENDA-RETIDO NA FONTE,IMPOSTO SOBRE A RENDA-TOTAL,2,detalhe,892.9689151816303,23363.77420548957
1994-03,IMPOSTO SOBRE A RENDA-TOTAL,Imposto de Renda,,1,componente,1250.2159374503817,32710.83950862266
1994-03,IMPOSTO SOBRE EXPORTAÇÃO,Imposto de Exportação,,1,componente,0.08111413530766606,2.1222825453183534
1994-03,IMPOSTO SOBRE IMPORTAÇÃO,Imposto de Importação,,1,componente,172.3979149742024,4510.64520889306
1994-03,IOF - I. S/ OPERAÇÕES FINANCEIRAS,IOF,,1,componente,356.5941327817573,9329.983003518926
1994-03,ITR - I. TERRITORIAL RURAL,ITR,,1,componente,0.8785429644659167,22.986331441815206
1994-03,OUTRAS RECEITAS ADMINISTRADAS,Outras receitas administradas,,1,componente,383.20395418020007,10026.206408647386
1994-03,PSS - CONTRIB. DO PLANO DE SEGURIDADE DO SERVIDOR,PSS,,1,componente,0.0,0.0
1994-03,RECEITA PREVIDENCIÁRIA [B],Receita previdenciária,,1,componente,0.0,0.0
1994-03,SUBTOTAL [A],Subtotal administradas (exceto previdenciária),,1,agregado,4334.737161117359,113414.72088296746
1994-03,TOTAL GERAL [E]=[C]+[D],Total geral,,1,agregado,4545.002330963812,118916.13069472133
1994-04,ADMINISTRADAS PELA RFB [C]=[A]+[B],Administradas pela RFB,,1,agregado,5077.933684402574,93117.34475666571
1994-04,ADMINISTRADAS POR OUTROS ÓRGÃOS [D],Administradas por outros órgãos,,1,componente,255.6039580208007,4687.174618545939
1994-04,CIDE-COMBUSTÍVEIS,CIDE-Combustíveis,,1,componente,0.0,0.0
1994-04,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL,COFINS,,1,componente,688.6620943832294,12628.440946462497
1994-04,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL · DEMAIS EMPRESAS,COFINS · DEMAIS EMPRESAS,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL,2,detalhe,688.6620943832294,12628.440946462497
1994-04,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL · ENTIDADES FINANCEIRAS,COFINS · ENTIDADES FINANCEIRAS,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL,2,detalhe,0.0,0.0
1994-04,CONTRIBUIÇÃO PARA O FUNDAF,FUNDAF,,1,componente,14.772547085793436,270.89372280444496
1994-04,CONTRIBUIÇÃO PARA O PIS/PASEP,PIS/PASEP,,1,componente,445.217818321001,8164.246257832873
1994-04,CONTRIBUIÇÃO PARA O PIS/PASEP · DEMAIS EMPRESAS,PIS/PASEP · DEMAIS EMPRESAS,CONTRIBUIÇÃO PARA O PIS/PASEP,2,detalhe,445.217818321001,8164.246257832873
1994-04,CONTRIBUIÇÃO PARA O PIS/PASEP · ENTIDADES FINANCEIRAS,PIS/PASEP · ENTIDADES FINANCEIRAS,CONTRIBUIÇÃO PARA O PIS/PASEP,2,detalhe,0.0,0.0
1994-04,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO,CSLL,,1,componente,420.5248578377797,7711.43551683373
1994-04,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO · DEMAIS EMPRESAS,CSLL · DEMAIS EMPRESAS,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO,2,detalhe,358.3559718377797,6571.4045612146365
1994-04,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO · ENTIDADES FINANCEIRAS,CSLL · ENTIDADES FINANCEIRAS,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO,2,detalhe,62.168886,1140.030955619093
1994-04,I.P.I-AUTOMÓVEIS,I.P.I-AUTOMÓVEIS,I.P.I-TOTAL,2,detalhe,49.032464800609134,899.1399283396838
1994-04,I.P.I-BEBIDAS,I.P.I-BEBIDAS,I.P.I-TOTAL,2,detalhe,56.62426920543156,1038.3557417049572
1994-04,I.P.I-FUMO,I.P.I-FUMO,I.P.I-TOTAL,2,detalhe,133.88945542040486,2455.217290048339
1994-04,I.P.I-OUTROS,I.P.I-OUTROS,I.P.I-TOTAL,2,detalhe,402.51085647312283,7381.101156487086
1994-04,I.P.I-TOTAL,IPI,,1,componente,744.8223046013691,13658.286939243435
1994-04,I.P.I-VINCULADO À IMPORTAÇÃO,I.P.I-VINCULADO À IMPORTAÇÃO,I.P.I-TOTAL,2,detalhe,102.76525870180072,1884.4728226633688
1994-04,I.R.R.F-OUTROS RENDIMENTOS,I.R.R.F-OUTROS RENDIMENTOS,I.RENDA-RETIDO NA FONTE,3,detalhe,54.98118416889378,1008.2254317559001
1994-04,I.R.R.F-RENDIMENTOS DE CAPITAL,I.R.R.F-RENDIMENTOS DE CAPITAL,I.RENDA-RETIDO NA FONTE,3,detalhe,279.21965427807834,5120.230870700666
1994-04,I.R.R.F-RENDIMENTOS DE RESIDENTES NO EXTERIOR,I.R.R.F-RENDIMENTOS DE RESIDENTES NO EXTERIOR,I.RENDA-RETIDO NA FONTE,3,detalhe,75.65224632508782,1387.284029389249
1994-04,I.R.R.F-RENDIMENTOS DO TRABALHO,I.R.R.F-RENDIMENTOS DO TRABALHO,I.RENDA-RETIDO NA FONTE,3,detalhe,437.4306497873912,8021.447926446686
1994-04,I.RENDA-PESSOA FÍSICA,I.RENDA-PESSOA FÍSICA,IMPOSTO SOBRE A RENDA-TOTAL,2,detalhe,150.76736871246436,2764.7184707386727
1994-04,I.RENDA-PESSOA JURÍDICA,I.RENDA-PESSOA JURÍDICA,IMPOSTO SOBRE A RENDA-TOTAL,2,detalhe,883.5938801248599,16203.030814126641
1994-04,I.RENDA-PESSOA JURÍDICA · DEMAIS EMPRESAS,I.RENDA-PESSOA JURÍDICA · DEMAIS EMPRESAS,I.RENDA-PESSOA JURÍDICA,3,detalhe,757.8869630356126,13897.862006418156
1994-04,I.RENDA-PESSOA JURÍDICA · ENTIDADES FINANCEIRAS,I.RENDA-PESSOA JURÍDICA · ENTIDADES FINANCEIRAS,I.RENDA-PESSOA JURÍDICA,3,detalhe,125.70691708924731,2305.168807708485
1994-04,I.RENDA-RETIDO NA FONTE,I.RENDA-RETIDO NA FONTE,IMPOSTO SOBRE A RENDA-TOTAL,2,detalhe,847.2837345594512,15537.188258292503
1994-04,IMPOSTO SOBRE A RENDA-TOTAL,Imposto de Renda,,1,componente,1881.6449833967754,34504.937543157816
1994-04,IMPOSTO SOBRE EXPORTAÇÃO,Imposto de Exportação,,1,componente,0.0808930087905638,1.4833872705135835
1994-04,IMPOSTO SOBRE IMPORTAÇÃO,Imposto de Importação,,1,componente,164.37441462259986,3014.239646847324
1994-04,IOF - I. S/ OPERAÇÕES FINANCEIRAS,IOF,,1,componente,358.0367713840518,6565.5511766406
1994-04,ITR - I. TERRITORIAL RURAL,ITR,,1,componente,0.7880412093154131,14.450819867080716
1994-04,OUTRAS RECEITAS ADMINISTRADAS,Outras receitas administradas,,1,componente,359.0089585518681,6583.378799705395
1994-04,PSS - CONTRIB. DO PLANO DE SEGURIDADE DO SERVIDOR,PSS,,1,componente,0.0,0.0
1994-04,RECEITA PREVIDENCIÁRIA [B],Receita previdenciária,,1,componente,0.0,0.0
1994-04,SUBTOTAL [A],Subtotal administradas (exceto previdenciária),,1,agregado,5077.933684402574,93117.34475666571
1994-04,TOTAL GERAL [E]=[C]+[D],Total geral,,1,agregado,5333.537642423375,97804.51937521165
1994-05,ADMINISTRADAS PELA RFB [C]=[A]+[B],Administradas pela RFB,,1,agregado,4644.716474975928,59135.70881301364
1994-05,ADMINISTRADAS POR OUTROS ÓRGÃOS [D],Administradas por outros órgãos,,1,componente,244.55631716116235,3113.647784087932
1994-05,CIDE-COMBUSTÍVEIS,CIDE-Combustíveis,,1,componente,0.0,0.0
1994-05,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL,COFINS,,1,componente,653.6649580731525,8322.346655634143
1994-05,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL · DEMAIS EMPRESAS,COFINS · DEMAIS EMPRESAS,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL,2,detalhe,653.6649580731525,8322.346655634143
1994-05,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL · ENTIDADES FINANCEIRAS,COFINS · ENTIDADES FINANCEIRAS,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL,2,detalhe,0.0,0.0
1994-05,CONTRIBUIÇÃO PARA O FUNDAF,FUNDAF,,1,componente,15.006176673722182,191.05598779922767
1994-05,CONTRIBUIÇÃO PARA O PIS/PASEP,PIS/PASEP,,1,componente,439.28868428108854,5592.945846846975
